Statistics Type on NE	Statistics Type and Statistics Counters desription	Statistics Counter on NE	Counter Name in XML	IMS element 	comment
	MSU discarded due to signalling link congestion	CV_SS7_SL_MSUDiscard = 7	IT.SS7_SL_MSUDiscard	MGCF, RGCF, BGCF	
CV_StstSSNo7_SP = 11	SSNo7 signal points Statistics				
	Adjacent signalling point inaccessible	CV_SS7_SP_Inaccessible = 1	IT.SS7_SP_Inaccessible	MGCF, RGCF, BGCF	
	Duration of adjacent signalling point inaccessible	CV_SS7_SP_InaccDurat = 2	IT.SS7_SP_InaccDurat	MGCF, RGCF, BGCF	
	MSU discarded due to a routing data error	CV_SS7_SP_MSUDiscard = 3	IT.SS7_SP_MSUDiscard	MGCF, RGCF, BGCF	
CV_StstSSNo7_ISUP = 12	SSNo7 exchange Statistics				
	Total ISDN-UP messages sent	CV_SS7_ISUP_MsgSent = 1	IT.SS7_ISUP_MsgSent	MGCF, RGCF	
	Total ISDN-UP messages received	CV_SS7_ISUP_MsgRec = 2	IT.SS7_ISUP_MsgRec	MGCF, RGCF	
CV_StstSSNo7_SCCP = 13	SSNo7 SCCP Statistics				
	Routing failure - no translation for address of such nature	CV_SS7_SCCP_NoNtrTransl = 1	IT.SS7_SCCP_NoNtrTransl	MGCF, RGCF, BGCF	
	Routing failure - no translation for this specific address	CV_SS7_SCCP_NoAdrTransl = 2 	IT.SS7_SCCP_NoAdrTransl	MGCF, RGCF, BGCF	
	Routing failure - network failure (point code not available)	CV_SS7_SCCP_NWFail = 3	IT.SS7_SCCP_NWFail	MGCF, RGCF, BGCF	
	Routing failure - network congestion	CV_SS7_SCCP_NWCongest = 4	IT.SS7_SCCP_NWCongest	MGCF, RGCF, BGCF	
	Routing failure - subsystem failure	CV_SS7_SCCP_SubSistFail = 5	IT.SS7_SCCP_SubSistFail	MGCF, RGCF, BGCF	
	Routing failure - unequipped user (Subsystem)	CV_SS7_SCCP_Unequipped = 6	IT.SS7_SCCP_Unequipped	MGCF, RGCF, BGCF	
	Syntax error detected	CV_SS7_SCCP_SyntaxError = 7	IT.SS7_SCCP_SyntaxError	MGCF, RGCF, BGCF	
	Routing failure - reason failure	CV_SS7_SCCP_Unknown = 8	IT.SS7_SCCP_Unknown	MGCF, RGCF, BGCF	
	Total messages originating in SSNs	CV_SS7_SCCP_MsgOrigin = 9	IT.SS7_SCCP_MsgOrigin	MGCF, RGCF, BGCF	
	Total messages received in SSNs	CV_SS7_SCCP_MsgReceived = 10	IT.SS7_SCCP_MsgReceived 	MGCF, RGCF, BGCF	
	Messages sent to a backup subsystem	CV_SS7_SCCP_MsgBkpSS = 11	IT.SS7_SCCP_MsgBkpSS	MGCF, RGCF, BGCF	
CV_StstSSNo7_TCAP=14	SSNo7 TCAP Statistics				
	Total number of TC messages sent by the node	CV_SS7_TCAP_MsgSent = 1	IT.SS7_TCAP_MsgSent	MGCF, RGCF, BGCF	
	Total number of TC messages received by the node	CV_SS7_TCAP_MsgReceived = 2	IT.SS7_TCAP_MsgReceived	MGCF, RGCF, BGCF	
